html_css,javascript,react,python,database,cloud,networking,security,devops,data_science,ai_ml,dsa,career
0.76,0.76,0.85,0.35,0.25,0.59,0.16,0.21,0.2,0.17,0.07,0.48,Frontend Developer
0.82,0.83,0.75,0.31,0.43,0.01,0.17,0.0,0.05,0.21,0.11,0.29,Frontend Developer
0.83,0.92,0.73,0.32,0.2,0.13,0.31,0.16,0.0,0.12,0.03,0.49,Frontend Developer
0.82,0.84,0.85,0.39,0.08,0.17,0.05,0.03,0.28,0.14,0.0,0.49,Frontend Developer
1.0,0.95,0.65,0.25,0.33,0.13,0.14,0.18,0.01,0.09,0.0,0.3,Frontend Developer
0.87,0.73,0.96,0.16,0.16,0.21,0.24,0.0,0.22,0.1,0.0,0.45,Frontend Developer
0.92,0.79,0.81,0.26,0.21,0.27,0.26,0.0,0.31,0.0,0.08,0.46,Frontend Developer
0.93,0.79,0.78,0.25,0.14,0.28,0.14,0.03,0.19,0.13,0.18,0.46,Frontend Developer
0.82,0.79,0.87,0.36,0.2,0.21,0.23,0.04,0.15,0.08,0.08,0.51,Frontend Developer
0.98,0.93,0.93,0.3,0.27,0.17,0.13,0.09,0.11,0.16,0.02,0.61,Frontend Developer
0.8,0.73,0.92,0.38,0.26,0.26,0.1,0.01,0.11,0.03,0.2,0.39,Frontend Developer
0.82,0.82,0.84,0.24,0.12,0.22,0.12,0.05,0.05,0.12,0.0,0.26,Frontend Developer
0.83,0.83,0.83,0.45,0.29,0.18,0.1,0.0,0.1,0.07,0.13,0.32,Frontend Developer
0.95,1.0,0.79,0.34,0.27,0.16,0.12,0.1,0.11,0.02,0.1,0.45,Frontend Developer
1.0,0.95,1.0,0.22,0.29,0.22,0.32,0.02,0.02,0.04,0.0,0.35,Frontend Developer
0.82,0.87,0.83,0.49,0.3,0.14,0.01,0.15,0.0,0.28,0.22,0.35,Frontend Developer
0.73,0.99,0.79,0.42,0.04,0.14,0.1,0.1,0.05,0.16,0.0,0.39,Frontend Developer
0.91,0.9,0.87,0.19,0.05,0.33,0.13,0.03,0.26,0.11,0.22,0.41,Frontend Developer
1.0,1.0,0.78,0.4,0.26,0.34,0.0,0.17,0.21,0.0,0.0,0.2,Frontend Developer
0.87,0.92,0.95,0.31,0.36,0.06,0.0,0.09,0.14,0.1,0.0,0.39,Frontend Developer
0.77,0.92,0.84,0.21,0.15,0.09,0.09,0.2,0.0,0.15,0.05,0.32,Frontend Developer
0.89,0.75,0.74,0.18,0.4,0.2,0.03,0.12,0.09,0.08,0.16,0.48,Frontend Developer
0.85,0.79,0.77,0.07,0.05,0.34,0.26,0.08,0.16,0.13,0.41,0.51,Frontend Developer
0.89,0.75,0.64,0.32,0.12,0.06,0.04,0.0,0.27,0.19,0.1,0.55,Frontend Developer
0.91,0.76,0.95,0.35,0.1,0.18,0.01,0.0,0.19,0.29,0.0,0.46,Frontend Developer
0.83,0.8,0.74,0.21,0.2,0.12,0.13,0.09,0.08,0.01,0.04,0.48,Frontend Developer
0.95,0.75,0.81,0.38,0.03,0.25,0.03,0.16,0.02,0.0,0.0,0.4,Frontend Developer
0.93,0.76,0.86,0.13,0.19,0.08,0.03,0.1,0.01,0.06,0.2,0.34,Frontend Developer
0.98,0.74,0.85,0.44,0.0,0.12,0.16,0.08,0.14,0.04,0.11,0.38,Frontend Developer
1.0,0.88,0.83,0.26,0.15,0.16,0.14,0.06,0.13,0.31,0.19,0.37,Frontend Developer
1.0,0.81,0.6,0.2,0.01,0.16,0.1,0.27,0.13,0.08,0.18,0.18,Frontend Developer
0.92,0.93,0.65,0.41,0.23,0.16,0.16,0.33,0.12,0.12,0.05,0.32,Frontend Developer
0.98,0.76,0.81,0.25,0.25,0.23,0.2,0.05,0.07,0.0,0.06,0.44,Frontend Developer
0.98,0.76,0.89,0.44,0.24,0.39,0.02,0.0,0.0,0.25,0.17,0.39,Frontend Developer
0.93,0.74,1.0,0.31,0.21,0.27,0.15,0.12,0.02,0.15,0.29,0.53,Frontend Developer
1.0,0.8,0.7,0.29,0.21,0.31,0.0,0.25,0.08,0.06,0.0,0.23,Frontend Developer
0.98,0.86,0.67,0.17,0.17,0.37,0.07,0.0,0.08,0.07,0.0,0.39,Frontend Developer
0.88,0.92,0.98,0.41,0.17,0.09,0.36,0.11,0.1,0.1,0.12,0.39,Frontend Developer
0.84,0.8,0.8,0.25,0.13,0.21,0.07,0.25,0.0,0.21,0.22,0.19,Frontend Developer
0.87,0.81,0.66,0.22,0.09,0.38,0.19,0.23,0.17,0.0,0.05,0.45,Frontend Developer
0.78,0.92,0.78,0.26,0.27,0.24,0.06,0.22,0.0,0.16,0.16,0.37,Frontend Developer
0.93,0.72,0.89,0.28,0.15,0.3,0.03,0.0,0.0,0.16,0.0,0.58,Frontend Developer
0.69,1.0,0.82,0.29,0.15,0.24,0.1,0.21,0.11,0.12,0.06,0.39,Frontend Developer
0.93,0.68,0.67,0.37,0.22,0.18,0.1,0.13,0.05,0.02,0.12,0.3,Frontend Developer
0.94,0.68,0.9,0.35,0.23,0.3,0.27,0.2,0.0,0.0,0.04,0.4,Frontend Developer
0.35,0.43,0.22,0.62,0.79,0.46,0.21,0.16,0.4,0.31,0.01,0.96,Backend Developer
0.35,0.52,0.11,0.77,0.79,0.61,0.56,0.29,0.61,0.13,0.1,0.88,Backend Developer
0.24,0.68,0.27,0.64,0.91,0.7,0.36,0.14,0.43,0.18,0.09,0.76,Backend Developer
0.32,0.37,0.24,0.76,0.91,0.71,0.38,0.35,0.49,0.03,0.14,0.72,Backend Developer
0.33,0.37,0.09,0.81,0.85,0.67,0.3,0.3,0.59,0.15,0.11,0.65,Backend Developer
0.26,0.47,0.22,0.65,0.98,0.51,0.28,0.26,0.64,0.22,0.2,0.55,Backend Developer
0.33,0.59,0.21,0.81,0.8,0.74,0.53,0.26,0.46,0.35,0.26,0.65,Backend Developer
0.26,0.47,0.07,0.61,0.75,0.52,0.3,0.32,0.66,0.1,0.2,0.68,Backend Developer
0.3,0.57,0.09,0.74,0.87,0.65,0.33,0.55,0.44,0.15,0.04,0.64,Backend Developer
0.24,0.62,0.34,0.64,0.77,0.65,0.24,0.36,0.52,0.05,0.25,0.88,Backend Developer
0.24,0.46,0.23,0.73,0.92,0.8,0.28,0.22,0.36,0.13,0.1,0.88,Backend Developer
0.25,0.52,0.2,0.82,1.0,0.55,0.25,0.4,0.57,0.38,0.16,0.66,Backend Developer
0.36,0.61,0.28,0.75,0.96,0.72,0.44,0.36,0.48,0.21,0.22,0.62,Backend Developer
0.34,0.46,0.2,0.83,0.87,0.6,0.16,0.37,0.56,0.42,0.07,0.72,Backend Developer
0.32,0.66,0.19,0.73,0.91,0.62,0.26,0.32,0.61,0.1,0.11,0.63,Backend Developer
0.42,0.35,0.14,0.74,1.0,0.59,0.24,0.49,0.36,0.0,0.14,0.65,Backend Developer
0.2,0.57,0.22,0.64,0.72,0.69,0.37,0.29,0.68,0.09,0.0,0.63,Backend Developer
0.3,0.52,0.18,0.74,0.72,0.74,0.29,0.41,0.53,0.25,0.16,0.74,Backend Developer
0.36,0.63,0.22,0.77,0.84,0.74,0.23,0.48,0.5,0.06,0.11,0.63,Backend Developer
0.38,0.43,0.16,0.51,0.8,0.36,0.14,0.38,0.58,0.24,0.0,0.7,Backend Developer
0.3,0.38,0.35,0.79,0.83,0.6,0.32,0.1,0.48,0.13,0.0,0.67,Backend Developer
0.48,0.56,0.14,0.76,0.99,0.69,0.31,0.24,0.57,0.24,0.19,0.76,Backend Developer
0.4,0.45,0.33,0.72,1.0,0.53,0.47,0.32,0.43,0.15,0.07,0.74,Backend Developer
0.35,0.44,0.2,0.91,1.0,0.64,0.3,0.31,0.56,0.1,0.07,0.53,Backend Developer
0.34,0.56,0.15,0.86,0.73,0.45,0.32,0.4,0.67,0.15,0.21,0.7,Backend Developer
0.28,0.59,0.27,0.54,1.0,0.74,0.24,0.34,0.55,0.23,0.04,0.63,Backend Developer
0.3,0.62,0.25,0.66,0.93,0.32,0.41,0.13,0.46,0.09,0.0,0.82,Backend Developer
0.25,0.53,0.2,0.75,0.86,0.47,0.4,0.25,0.34,0.16,0.25,0.79,Backend Developer
0.27,0.47,0.17,0.91,0.89,0.64,0.4,0.32,0.47,0.18,0.09,0.7,Backend Developer
0.37,0.51,0.27,0.69,0.86,0.4,0.39,0.33,0.6,0.0,0.31,0.69,Backend Developer
0.41,0.4,0.26,0.59,0.79,0.79,0.28,0.32,0.59,0.25,0.12,0.74,Backend Developer
0.54,0.49,0.22,0.81,0.96,0.72,0.36,0.19,0.66,0.09,0.13,0.62,Backend Developer
0.29,0.53,0.23,0.74,1.0,0.65,0.28,0.4,0.62,0.08,0.16,0.77,Backend Developer
0.27,0.64,0.18,0.71,0.83,0.6,0.19,0.16,0.66,0.12,0.0,0.48,Backend Developer
0.24,0.37,0.36,0.8,0.78,0.83,0.4,0.27,0.25,0.43,0.0,0.54,Backend Developer
0.4,0.74,0.34,0.76,0.91,0.69,0.38,0.33,0.51,0.19,0.02,0.67,Backend Developer
0.13,0.49,0.1,0.59,0.87,0.74,0.39,0.14,0.4,0.29,0.0,0.68,Backend Developer
0.36,0.4,0.21,0.57,0.79,0.63,0.14,0.34,0.5,0.26,0.12,0.84,Backend Developer
0.31,0.46,0.21,0.75,0.85,0.6,0.23,0.23,0.36,0.37,0.0,0.63,Backend Developer
0.23,0.59,0.17,0.82,0.78,0.63,0.22,0.51,0.38,0.23,0.16,0.74,Backend Developer
0.28,0.49,0.2,0.69,0.95,0.82,0.24,0.16,0.49,0.46,0.02,0.86,Backend Developer
0.47,0.44,0.26,0.86,0.81,0.58,0.24,0.2,0.44,0.08,0.1,0.62,Backend Developer
0.32,0.34,0.23,0.78,0.65,0.64,0.42,0.18,0.67,0.24,0.03,0.69,Backend Developer
0.36,0.51,0.25,0.61,0.87,0.46,0.29,0.21,0.43,0.32,0.21,0.76,Backend Developer
0.19,0.47,0.32,0.71,1.0,0.64,0.32,0.27,0.51,0.18,0.17,0.8,Backend Developer
0.22,0.37,0.02,0.75,0.74,0.38,0.34,0.55,0.5,0.28,0.11,0.69,Backend Developer
0.39,0.47,0.23,0.73,0.78,0.7,0.28,0.22,0.55,0.11,0.1,0.7,Backend Developer
0.41,0.55,0.2,0.78,0.99,0.66,0.3,0.17,0.39,0.17,0.04,0.68,Backend Developer
0.31,0.55,0.19,0.75,0.86,0.4,0.21,0.29,0.38,0.26,0.25,0.82,Backend Developer
0.28,0.65,0.21,0.67,0.79,0.57,0.26,0.32,0.52,0.2,0.14,0.82,Backend Developer
0.39,0.35,0.0,0.79,0.71,0.58,0.18,0.12,0.55,0.28,0.04,0.44,Backend Developer
0.25,0.54,0.05,0.72,0.85,0.66,0.31,0.2,0.62,0.18,0.1,0.61,Backend Developer
0.26,0.41,0.18,0.87,0.71,0.44,0.45,0.28,0.43,0.3,0.04,0.88,Backend Developer
0.37,0.45,0.42,0.64,0.92,0.63,0.43,0.46,0.5,0.12,0.15,0.63,Backend Developer
0.5,0.51,0.16,0.72,0.72,0.5,0.42,0.23,0.4,0.25,0.22,0.77,Backend Developer
0.4,0.42,0.06,0.85,0.82,0.57,0.43,0.36,0.55,0.42,0.04,0.79,Backend Developer
0.31,0.53,0.35,0.75,0.9,0.71,0.26,0.22,0.4,0.0,0.31,0.59,Backend Developer
0.28,0.47,0.23,0.78,0.94,0.54,0.28,0.33,0.48,0.36,0.15,0.77,Backend Developer
0.37,0.62,0.22,0.57,0.89,0.53,0.25,0.36,0.62,0.2,0.13,0.87,Backend Developer
0.32,0.76,0.26,0.52,0.93,0.64,0.43,0.37,0.49,0.08,0.08,0.61,Backend Developer
0.24,0.56,0.37,0.74,0.73,0.64,0.42,0.24,0.49,0.2,0.02,0.76,Backend Developer
0.29,0.54,0.11,0.66,0.92,0.56,0.47,0.26,0.52,0.29,0.0,0.52,Backend Developer
0.65,0.93,0.64,0.86,0.64,0.52,0.45,0.5,0.61,0.32,0.2,0.66,Full Stack Developer
0.88,0.74,0.62,0.6,0.68,0.45,0.37,0.4,0.41,0.35,0.0,0.58,Full Stack Developer
0.73,0.61,0.69,0.59,0.85,0.56,0.2,0.49,0.52,0.26,0.08,0.5,Full Stack Developer
0.76,0.91,0.89,0.75,0.65,0.39,0.31,0.12,0.43,0.19,0.05,0.44,Full Stack Developer
0.85,0.75,0.58,0.31,0.7,0.68,0.47,0.25,0.34,0.25,0.0,0.63,Full Stack Developer
0.88,0.92,0.69,0.58,0.61,0.42,0.28,0.34,0.49,0.12,0.25,0.57,Full Stack Developer
0.8,0.73,0.46,0.69,0.77,0.47,0.31,0.35,0.24,0.15,0.18,0.47,Full Stack Developer
0.83,0.66,0.75,0.6,0.54,0.62,0.23,0.22,0.42,0.31,0.0,0.61,Full Stack Developer
0.84,0.87,0.72,0.56,0.62,0.51,0.19,0.01,0.44,0.29,0.0,0.5,Full Stack Developer
0.86,1.0,0.7,0.53,0.68,0.64,0.24,0.22,0.35,0.1,0.11,0.76,Full Stack Developer
0.83,0.77,0.67,0.44,0.79,0.49,0.28,0.62,0.43,0.12,0.06,0.71,Full Stack Developer
0.81,0.66,0.79,0.53,0.89,0.61,0.26,0.43,0.41,0.29,0.15,0.52,Full Stack Developer
0.74,0.9,0.67,0.56,0.6,0.54,0.51,0.19,0.4,0.34,0.09,0.65,Full Stack Developer
0.69,0.84,0.68,0.7,0.82,0.76,0.36,0.33,0.42,0.16,0.13,0.57,Full Stack Developer
0.82,0.93,0.6,0.71,0.83,0.49,0.09,0.24,0.53,0.2,0.0,0.55,Full Stack Developer
0.88,0.85,0.68,0.56,0.66,0.41,0.46,0.27,0.52,0.35,0.2,0.56,Full Stack Developer
0.84,0.8,0.61,0.63,0.58,0.62,0.25,0.32,0.43,0.17,0.16,0.55,Full Stack Developer
0.89,0.67,0.71,0.79,0.6,0.43,0.35,0.32,0.44,0.25,0.16,0.71,Full Stack Developer
0.84,0.78,0.77,0.79,0.69,0.4,0.41,0.29,0.18,0.28,0.05,0.59,Full Stack Developer
0.83,0.82,0.77,0.56,0.75,0.47,0.37,0.36,0.31,0.31,0.05,0.68,Full Stack Developer
0.84,0.98,0.68,0.57,0.7,0.47,0.38,0.14,0.29,0.09,0.2,0.77,Full Stack Developer
0.79,0.78,0.71,0.72,0.61,0.52,0.4,0.35,0.42,0.3,0.0,0.67,Full Stack Developer
0.73,0.62,0.75,0.74,0.69,0.6,0.46,0.43,0.56,0.27,0.11,0.44,Full Stack Developer
0.78,0.72,0.92,0.58,0.71,0.56,0.3,0.47,0.34,0.22,0.03,0.47,Full Stack Developer
0.74,0.8,0.66,0.53,0.56,0.49,0.15,0.38,0.41,0.05,0.07,0.52,Full Stack Developer
0.83,0.93,0.51,0.61,0.68,0.57,0.32,0.22,0.37,0.12,0.21,0.6,Full Stack Developer
0.99,0.79,0.63,0.45,0.52,0.34,0.33,0.35,0.24,0.29,0.05,0.61,Full Stack Developer
0.96,0.89,0.67,0.51,0.48,0.43,0.28,0.2,0.39,0.21,0.08,0.53,Full Stack Developer
0.82,0.84,0.59,0.74,0.69,0.5,0.37,0.32,0.5,0.23,0.04,0.64,Full Stack Developer
0.69,0.81,0.7,0.58,0.69,0.31,0.25,0.31,0.42,0.1,0.23,0.51,Full Stack Developer
0.9,0.84,0.64,0.78,0.58,0.59,0.4,0.23,0.54,0.17,0.13,0.63,Full Stack Developer
0.79,0.88,0.78,0.43,0.83,0.33,0.4,0.41,0.29,0.16,0.0,0.58,Full Stack Developer
0.77,0.88,0.83,0.74,0.64,0.48,0.13,0.22,0.5,0.36,0.0,0.54,Full Stack Developer
0.8,0.83,0.62,0.64,0.65,0.5,0.35,0.3,0.36,0.19,0.09,0.56,Full Stack Developer
0.77,0.96,0.76,0.57,0.77,0.47,0.42,0.34,0.39,0.24,0.0,0.49,Full Stack Developer
0.68,0.81,0.87,0.82,0.76,0.55,0.12,0.25,0.32,0.14,0.08,0.55,Full Stack Developer
0.6,0.87,0.59,0.62,0.91,0.41,0.05,0.27,0.51,0.4,0.0,0.65,Full Stack Developer
0.75,0.79,0.96,0.45,0.73,0.55,0.41,0.31,0.43,0.16,0.13,0.57,Full Stack Developer
0.86,0.76,0.74,0.6,0.81,0.49,0.12,0.43,0.31,0.13,0.04,0.74,Full Stack Developer
0.59,1.0,0.81,0.62,0.69,0.53,0.35,0.36,0.46,0.21,0.08,0.58,Full Stack Developer
0.78,0.91,0.76,0.31,0.77,0.52,0.3,0.26,0.51,0.29,0.02,0.64,Full Stack Developer
0.7,0.66,0.64,0.69,0.8,0.55,0.37,0.35,0.34,0.24,0.18,0.68,Full Stack Developer
0.92,0.87,0.74,0.71,0.7,0.41,0.28,0.23,0.33,0.19,0.02,0.57,Full Stack Developer
0.61,0.82,0.7,0.52,0.77,0.59,0.14,0.22,0.32,0.11,0.18,0.58,Full Stack Developer
0.77,0.6,0.76,0.48,0.71,0.53,0.44,0.17,0.1,0.22,0.28,0.72,Full Stack Developer
0.82,0.75,0.78,0.5,0.75,0.55,0.41,0.58,0.44,0.15,0.1,0.42,Full Stack Developer
0.73,0.76,0.65,0.62,0.62,0.61,0.3,0.3,0.37,0.22,0.18,0.51,Full Stack Developer
0.73,0.77,0.57,0.52,0.65,0.59,0.33,0.32,0.49,0.19,0.14,0.59,Full Stack Developer
0.83,0.74,0.46,0.59,0.84,0.59,0.4,0.42,0.41,0.22,0.04,0.57,Full Stack Developer
0.86,0.92,0.69,0.55,0.7,0.56,0.16,0.07,0.34,0.08,0.05,0.59,Full Stack Developer
0.75,0.95,0.73,0.63,0.76,0.39,0.4,0.29,0.47,0.09,0.0,0.68,Full Stack Developer
0.84,0.71,0.61,0.71,0.58,0.66,0.21,0.36,0.37,0.26,0.05,0.58,Full Stack Developer
0.8,0.7,0.77,0.55,0.68,0.4,0.04,0.28,0.64,0.28,0.1,0.57,Full Stack Developer
0.8,0.85,0.58,0.71,0.77,0.57,0.34,0.3,0.47,0.26,0.06,0.54,Full Stack Developer
0.81,0.95,0.58,0.45,0.72,0.51,0.32,0.32,0.38,0.35,0.0,0.52,Full Stack Developer
0.79,0.64,0.68,0.77,0.7,0.52,0.17,0.24,0.36,0.17,0.23,0.66,Full Stack Developer
0.69,0.82,0.75,0.71,0.86,0.4,0.22,0.17,0.38,0.25,0.2,0.59,Full Stack Developer
0.77,0.82,0.62,0.81,0.54,0.52,0.5,0.3,0.38,0.16,0.08,0.74,Full Stack Developer
0.58,0.95,0.56,0.57,0.66,0.56,0.14,0.35,0.6,0.06,0.12,0.53,Full Stack Developer
0.84,0.8,0.64,0.65,0.88,0.48,0.37,0.17,0.3,0.25,0.25,0.64,Full Stack Developer
0.77,0.8,0.57,0.66,0.79,0.45,0.25,0.33,0.36,0.19,0.31,0.58,Full Stack Developer
0.76,0.74,0.77,0.58,0.64,0.63,0.44,0.24,0.21,0.3,0.03,0.68,Full Stack Developer
0.0,0.39,0.0,0.97,0.4,0.4,0.16,0.27,0.31,0.86,1.0,0.54,AI Engineer
0.36,0.31,0.01,0.77,0.38,0.59,0.19,0.35,0.15,0.8,0.77,0.74,AI Engineer
0.29,0.26,0.0,0.92,0.44,0.54,0.32,0.09,0.37,0.92,0.72,0.73,AI Engineer
0.15,0.29,0.13,0.85,0.33,0.5,0.09,0.09,0.37,0.69,0.97,0.75,AI Engineer
0.03,0.23,0.22,0.8,0.35,0.55,0.28,0.17,0.24,0.94,1.0,0.8,AI Engineer
0.21,0.22,0.02,0.95,0.44,0.64,0.27,0.05,0.41,0.7,0.86,0.73,AI Engineer
0.4,0.61,0.16,0.88,0.45,0.59,0.17,0.38,0.32,0.85,0.97,0.74,AI Engineer
0.28,0.24,0.04,0.79,0.44,0.58,0.25,0.37,0.3,0.87,0.79,0.66,AI Engineer
0.27,0.38,0.07,0.89,0.25,0.46,0.29,0.26,0.35,0.8,0.9,0.63,AI Engineer
0.27,0.34,0.15,0.85,0.18,0.61,0.15,0.11,0.37,0.76,1.0,0.76,AI Engineer
0.27,0.16,0.22,0.93,0.36,0.51,0.02,0.24,0.2,0.66,0.75,0.81,AI Engineer
0.14,0.45,0.05,0.73,0.29,0.62,0.18,0.15,0.32,0.85,1.0,0.84,AI Engineer
0.16,0.17,0.06,0.93,0.3,0.4,0.23,0.2,0.3,0.72,0.88,0.61,AI Engineer
0.29,0.4,0.0,0.81,0.25,0.43,0.19,0.06,0.21,0.7,0.92,0.71,AI Engineer
0.13,0.32,0.05,0.87,0.57,0.63,0.07,0.28,0.38,0.69,0.98,0.85,AI Engineer
0.09,0.21,0.2,0.93,0.46,0.53,0.24,0.07,0.4,0.92,0.88,0.7,AI Engineer
0.05,0.35,0.16,0.89,0.51,0.47,0.26,0.1,0.3,0.78,0.92,0.66,AI Engineer
0.19,0.38,0.06,0.74,0.57,0.64,0.07,0.27,0.25,0.83,0.93,0.68,AI Engineer
0.12,0.23,0.01,0.82,0.39,0.43,0.27,0.35,0.24,0.82,0.95,0.75,AI Engineer
0.21,0.37,0.15,0.78,0.49,0.59,0.12,0.2,0.37,0.78,1.0,0.94,AI Engineer
0.12,0.16,0.13,0.97,0.38,0.65,0.07,0.27,0.24,0.97,1.0,0.62,AI Engineer
0.15,0.39,0.06,0.9,0.4,0.31,0.2,0.13,0.25,0.94,0.77,0.78,AI Engineer
0.17,0.27,0.18,0.93,0.46,0.6,0.17,0.14,0.19,0.72,1.0,0.82,AI Engineer
0.06,0.17,0.15,0.95,0.45,0.47,0.19,0.23,0.31,0.58,0.88,0.61,AI Engineer
0.22,0.6,0.14,0.87,0.49,0.55,0.24,0.26,0.51,0.69,0.95,0.61,AI Engineer
0.26,0.21,0.06,0.87,0.5,0.59,0.08,0.21,0.23,0.67,0.88,0.67,AI Engineer
0.44,0.34,0.0,0.84,0.5,0.71,0.04,0.01,0.49,0.84,0.81,0.75,AI Engineer
0.0,0.3,0.13,0.99,0.3,0.51,0.11,0.23,0.21,0.76,0.8,0.77,AI Engineer
0.29,0.28,0.1,0.76,0.37,0.49,0.46,0.09,0.45,0.9,0.93,0.88,AI Engineer
0.24,0.34,0.09,1.0,0.51,0.44,0.07,0.18,0.22,0.79,1.0,0.65,AI Engineer
0.2,0.31,0.18,0.68,0.34,0.52,0.32,0.15,0.11,0.86,0.84,0.58,AI Engineer
0.14,0.28,0.04,0.68,0.49,0.63,0.27,0.09,0.28,0.8,0.96,0.77,AI Engineer
0.13,0.31,0.15,1.0,0.47,0.58,0.21,0.34,0.34,0.71,1.0,0.77,AI Engineer
0.16,0.25,0.13,0.95,0.42,0.53,0.37,0.31,0.32,0.89,0.8,0.74,AI Engineer
0.38,0.28,0.02,0.83,0.29,0.42,0.16,0.06,0.3,0.89,0.81,0.85,AI Engineer
0.25,0.4,0.03,0.99,0.29,0.59,0.22,0.26,0.18,0.71,0.96,0.61,AI Engineer
0.25,0.16,0.18,0.78,0.46,0.56,0.13,0.26,0.33,0.75,0.8,0.5,AI Engineer
0.23,0.14,0.11,0.87,0.47,0.47,0.17,0.27,0.33,0.83,0.95,0.55,AI Engineer
0.28,0.36,0.0,0.88,0.4,0.49,0.23,0.34,0.41,0.67,0.96,0.83,AI Engineer
0.24,0.41,0.3,1.0,0.42,0.6,0.21,0.2,0.26,0.96,0.82,0.85,AI Engineer
0.25,0.16,0.14,0.69,0.46,0.59,0.14,0.21,0.5,0.75,0.79,0.85,AI Engineer
0.4,0.3,0.2,1.0,0.33,0.45,0.32,0.37,0.36,0.71,1.0,0.65,AI Engineer
0.17,0.33,0.26,0.99,0.44,0.55,0.2,0.26,0.05,0.77,0.92,0.58,AI Engineer
0.24,0.28,0.28,1.0,0.35,0.48,0.19,0.15,0.32,0.72,0.79,0.76,AI Engineer
0.26,0.22,0.19,0.84,0.43,0.58,0.2,0.25,0.25,0.78,0.88,0.63,AI Engineer
0.18,0.15,0.05,0.87,0.37,0.48,0.19,0.25,0.39,0.74,0.78,0.6,AI Engineer
0.15,0.26,0.02,0.77,0.35,0.52,0.26,0.14,0.26,0.71,0.9,0.62,AI Engineer
0.26,0.12,0.06,0.93,0.42,0.77,0.23,0.1,0.29,0.62,0.89,0.62,AI Engineer
0.29,0.25,0.09,0.84,0.57,0.47,0.38,0.28,0.35,0.84,0.94,0.51,AI Engineer
0.17,0.38,0.1,0.76,0.39,0.67,0.32,0.19,0.4,0.76,0.73,0.61,AI Engineer
0.36,0.27,0.08,0.87,0.59,0.66,0.42,0.18,0.33,0.65,1.0,0.58,AI Engineer
0.22,0.19,0.04,0.82,0.34,0.45,0.15,0.28,0.19,0.82,1.0,0.65,AI Engineer
0.13,0.28,0.22,0.92,0.35,0.55,0.09,0.27,0.34,0.77,0.82,0.61,AI Engineer
0.25,0.42,0.04,0.95,0.19,0.44,0.2,0.11,0.21,0.73,0.93,0.68,AI Engineer
0.0,0.09,0.04,0.95,0.13,0.45,0.15,0.34,0.26,0.84,0.91,0.49,AI Engineer
0.28,0.32,0.15,1.0,0.19,0.67,0.17,0.23,0.3,0.76,0.84,0.73,AI Engineer
0.05,0.38,0.06,0.79,0.35,0.63,0.15,0.24,0.23,0.88,0.97,0.88,AI Engineer
0.18,0.37,0.11,1.0,0.33,0.57,0.18,0.19,0.31,0.83,0.89,0.72,AI Engineer
0.36,0.4,0.19,0.85,0.31,0.6,0.29,0.35,0.24,0.78,0.74,0.66,AI Engineer
0.3,0.25,0.16,0.88,0.43,0.39,0.21,0.0,0.28,0.64,1.0,0.78,AI Engineer
0.25,0.45,0.01,1.0,0.49,0.48,0.31,0.09,0.22,0.74,0.85,0.59,AI Engineer
0.32,0.27,0.14,0.84,0.22,0.53,0.01,0.19,0.16,1.0,0.99,0.71,AI Engineer
0.43,0.22,0.15,0.72,0.73,0.43,0.17,0.13,0.0,0.75,0.39,0.51,Data Analyst
