Python,Java,JavaScript,React,Node,Express,MongoDB,SQL,HTML,CSS,Git,DSA,Communication,Problem_Solving,Projects_Count,Internship_Count,Certification_Count,Interested_Domain,Career_Role
0.1,0.2,0.92,0.7,0.2,0.15,0.23,0.0,0.94,0.94,0.57,0.26,0.69,0.47,2,2,2,0,Frontend Developer
0.11,0.04,0.69,0.96,0.05,0.0,0.1,0.0,0.96,1.0,0.65,0.07,0.62,0.41,2,1,2,0,Frontend Developer
0.15,0.01,1.0,0.98,0.06,0.0,0.14,0.04,0.98,0.8,0.51,0.22,0.56,0.25,2,1,0,0,Frontend Developer
0.0,0.23,1.0,0.87,0.03,0.17,0.0,0.1,0.88,0.8,0.84,0.2,0.62,0.61,3,0,1,0,Frontend Developer
0.21,0.01,0.88,0.78,0.23,0.0,0.04,0.06,0.77,1.0,0.56,0.23,0.93,0.31,2,2,0,0,Frontend Developer
0.09,0.0,1.0,0.96,0.13,0.28,0.04,0.0,0.97,0.99,0.76,0.28,0.66,0.56,2,1,1,0,Frontend Developer
0.07,0.26,0.87,0.63,0.33,0.0,0.0,0.1,0.92,1.0,0.81,0.21,0.49,0.53,2,1,1,0,Frontend Developer
0.16,0.29,1.0,0.99,0.16,0.05,0.09,0.32,0.9,0.98,0.43,0.28,0.87,0.39,4,1,1,0,Frontend Developer
0.15,0.33,0.86,0.75,0.0,0.28,0.18,0.09,0.98,0.81,0.99,0.22,0.61,0.59,2,0,1,0,Frontend Developer
0.12,0.11,0.94,0.99,0.5,0.16,0.03,0.08,1.0,0.88,0.8,0.0,0.57,0.58,2,1,1,0,Frontend Developer
0.2,0.08,1.0,0.68,0.08,0.16,0.0,0.08,0.95,0.97,0.62,0.22,0.51,0.58,4,0,1,0,Frontend Developer
0.27,0.0,0.7,0.75,0.06,0.12,0.13,0.07,0.93,1.0,0.8,0.04,0.56,0.49,4,0,1,0,Frontend Developer
0.41,0.12,1.0,0.67,0.22,0.22,0.2,0.17,0.95,0.96,0.5,0.09,0.63,0.41,4,1,1,0,Frontend Developer
0.13,0.19,1.0,0.84,0.16,0.09,0.04,0.22,0.87,1.0,0.66,0.26,0.62,0.38,2,1,0,0,Frontend Developer
0.12,0.08,0.95,0.94,0.14,0.01,0.12,0.0,1.0,0.75,0.82,0.26,0.63,0.62,2,2,1,0,Frontend Developer
0.0,0.0,0.97,0.87,0.3,0.09,0.19,0.28,0.93,1.0,0.49,0.19,0.45,0.52,3,2,1,0,Frontend Developer
0.1,0.31,0.87,1.0,0.28,0.03,0.18,0.22,1.0,0.76,0.61,0.17,0.59,0.57,3,2,0,0,Frontend Developer
0.13,0.19,0.92,0.91,0.16,0.11,0.0,0.41,0.86,0.91,0.6,0.27,0.58,0.38,4,1,0,0,Frontend Developer
0.0,0.27,0.85,1.0,0.21,0.22,0.0,0.0,1.0,0.99,0.95,0.26,0.62,0.71,2,1,1,0,Frontend Developer
0.1,0.03,0.76,0.97,0.1,0.08,0.13,0.0,0.73,0.91,0.75,0.29,0.41,0.58,4,1,1,0,Frontend Developer
0.09,0.11,1.0,0.86,0.27,0.04,0.05,0.09,1.0,1.0,0.71,0.02,0.68,0.79,2,0,2,0,Frontend Developer
0.12,0.0,1.0,1.0,0.13,0.05,0.13,0.14,1.0,1.0,0.68,0.1,0.43,0.41,4,1,1,0,Frontend Developer
0.04,0.23,1.0,1.0,0.27,0.06,0.17,0.23,1.0,1.0,0.83,0.34,0.77,0.58,3,2,1,0,Frontend Developer
0.29,0.14,0.86,0.83,0.17,0.03,0.0,0.12,0.92,0.97,0.84,0.17,0.46,0.45,4,1,0,0,Frontend Developer
0.19,0.22,0.87,0.9,0.44,0.01,0.0,0.27,1.0,0.9,0.69,0.05,0.61,0.64,2,1,0,0,Frontend Developer
0.15,0.13,0.91,1.0,0.07,0.0,0.21,0.2,0.99,0.92,0.76,0.41,0.9,0.3,4,2,1,0,Frontend Developer
0.18,0.26,0.97,0.99,0.19,0.27,0.02,0.32,0.95,0.78,0.72,0.12,0.7,0.42,4,1,1,0,Frontend Developer
0.19,0.15,0.83,0.89,0.2,0.0,0.28,0.21,0.92,0.95,0.73,0.0,0.57,0.42,2,1,1,0,Frontend Developer
0.13,0.0,1.0,0.94,0.25,0.18,0.03,0.23,0.96,1.0,0.68,0.36,0.65,0.76,4,1,2,0,Frontend Developer
0.1,0.36,1.0,0.95,0.2,0.11,0.17,0.0,0.92,0.75,0.75,0.28,0.54,0.69,4,1,2,0,Frontend Developer
0.29,0.0,1.0,0.95,0.09,0.0,0.02,0.0,0.89,1.0,0.64,0.37,0.8,0.65,4,2,1,0,Frontend Developer
0.29,0.0,1.0,1.0,0.23,0.01,0.0,0.0,1.0,1.0,0.53,0.13,0.65,0.46,4,1,2,0,Frontend Developer
0.18,0.0,0.85,0.96,0.3,0.25,0.25,0.09,0.99,1.0,0.66,0.25,0.56,0.43,4,1,2,0,Frontend Developer
0.12,0.0,0.84,1.0,0.44,0.07,0.11,0.15,0.97,0.75,0.75,0.0,0.51,0.56,4,2,1,0,Frontend Developer
0.22,0.14,0.9,0.91,0.22,0.15,0.0,0.18,0.82,1.0,0.61,0.24,0.72,0.47,2,1,1,0,Frontend Developer
0.23,0.17,1.0,0.98,0.35,0.07,0.11,0.0,0.8,0.75,0.59,0.39,0.41,0.46,2,1,1,0,Frontend Developer
0.1,0.29,1.0,0.91,0.21,0.0,0.08,0.0,1.0,0.69,0.8,0.32,0.76,0.51,4,1,1,0,Frontend Developer
0.01,0.07,0.75,0.89,0.08,0.0,0.12,0.27,1.0,0.76,0.58,0.31,0.48,0.47,2,2,0,0,Frontend Developer
0.0,0.15,0.95,0.97,0.23,0.26,0.12,0.05,0.96,1.0,0.71,0.2,0.52,0.42,4,1,1,0,Frontend Developer
0.0,0.0,1.0,0.95,0.32,0.17,0.03,0.15,0.81,0.92,0.76,0.16,0.9,0.27,3,1,0,0,Frontend Developer
0.28,0.0,0.99,0.9,0.25,0.01,0.0,0.0,1.0,1.0,0.74,0.14,0.41,0.57,2,1,1,0,Frontend Developer
0.03,0.18,1.0,0.91,0.26,0.35,0.0,0.0,1.0,1.0,0.67,0.41,0.61,0.42,2,0,1,0,Frontend Developer
0.2,0.19,1.0,0.76,0.17,0.05,0.15,0.14,0.97,1.0,0.67,0.15,0.46,0.32,2,1,1,0,Frontend Developer
0.15,0.4,0.95,1.0,0.21,0.09,0.21,0.07,0.98,0.99,0.62,0.32,0.58,0.41,2,1,1,0,Frontend Developer
0.1,0.2,1.0,0.97,0.2,0.0,0.0,0.06,0.88,0.93,0.71,0.26,0.59,0.56,2,2,2,0,Frontend Developer
0.11,0.07,0.79,0.71,0.04,0.13,0.09,0.0,1.0,1.0,0.63,0.0,0.51,0.6,2,1,2,0,Frontend Developer
0.0,0.21,1.0,1.0,0.07,0.07,0.08,0.22,0.89,0.81,0.84,0.16,0.71,0.59,3,2,2,0,Frontend Developer
0.0,0.1,0.71,1.0,0.06,0.1,0.24,0.0,0.67,0.9,0.6,0.0,0.63,0.52,4,2,1,0,Frontend Developer
0.17,0.16,0.66,0.89,0.02,0.07,0.09,0.22,0.95,0.98,0.8,0.35,0.59,0.51,2,1,1,0,Frontend Developer
0.05,0.05,0.98,0.82,0.11,0.21,0.17,0.26,0.8,0.89,0.73,0.09,0.68,0.65,2,1,1,0,Frontend Developer
0.27,0.32,1.0,0.97,0.1,0.14,0.17,0.07,0.88,0.8,0.49,0.0,0.67,0.52,3,0,0,0,Frontend Developer
0.14,0.0,0.8,0.97,0.04,0.13,0.08,0.06,0.85,1.0,0.91,0.24,0.64,0.42,4,2,0,0,Frontend Developer
0.0,0.11,1.0,0.97,0.24,0.21,0.03,0.16,0.92,0.95,0.8,0.09,0.75,0.45,3,1,0,0,Frontend Developer
0.08,0.1,0.86,0.98,0.19,0.15,0.0,0.05,1.0,0.91,0.91,0.15,0.63,0.61,4,1,0,0,Frontend Developer
0.0,0.0,0.95,1.0,0.14,0.14,0.19,0.0,0.95,0.87,0.89,0.39,0.48,0.55,2,2,2,0,Frontend Developer
0.05,0.0,0.85,0.88,0.26,0.0,0.12,0.17,1.0,0.82,0.66,0.23,0.74,0.46,4,0,1,0,Frontend Developer
0.04,0.19,0.72,0.92,0.32,0.08,0.06,0.15,0.93,1.0,0.57,0.19,0.62,0.45,2,1,1,0,Frontend Developer
0.07,0.0,0.94,1.0,0.09,0.0,0.0,0.0,0.89,1.0,0.72,0.18,0.62,0.44,2,0,1,0,Frontend Developer
0.14,0.3,1.0,0.85,0.27,0.25,0.15,0.1,1.0,0.87,0.63,0.07,0.64,0.48,2,0,0,0,Frontend Developer
0.0,0.11,0.82,0.55,0.25,0.21,0.0,0.0,1.0,1.0,0.7,0.11,0.58,0.66,4,1,2,0,Frontend Developer
0.0,0.16,1.0,0.95,0.42,0.34,0.07,0.02,0.86,0.77,0.64,0.34,0.34,0.38,3,1,1,0,Frontend Developer
0.0,0.21,1.0,0.73,0.0,0.23,0.0,0.13,0.76,1.0,1.0,0.22,0.59,0.46,4,1,0,0,Frontend Developer
0.13,0.09,1.0,1.0,0.06,0.07,0.1,0.07,1.0,0.98,0.6,0.27,0.63,0.54,4,0,1,0,Frontend Developer
0.0,0.0,0.97,0.91,0.01,0.12,0.03,0.3,0.98,1.0,0.75,0.05,0.83,0.31,3,1,1,0,Frontend Developer
0.0,0.16,1.0,0.85,0.13,0.0,0.27,0.04,0.93,0.99,0.73,0.29,0.55,0.36,4,1,1,0,Frontend Developer
0.04,0.09,0.99,0.92,0.29,0.05,0.16,0.07,1.0,1.0,0.59,0.33,0.54,0.6,2,0,0,0,Frontend Developer
0.19,0.0,0.87,0.92,0.06,0.0,0.25,0.11,0.88,0.75,0.8,0.12,0.82,0.6,4,0,0,0,Frontend Developer
0.22,0.16,0.97,1.0,0.0,0.18,0.02,0.0,1.0,1.0,0.68,0.31,0.79,0.66,4,1,2,0,Frontend Developer
0.08,0.0,1.0,0.87,0.3,0.12,0.08,0.0,0.78,0.64,0.63,0.47,0.45,0.18,2,0,2,0,Frontend Developer
0.0,0.06,0.89,0.89,0.3,0.03,0.2,0.03,1.0,0.96,0.65,0.21,0.56,0.51,4,0,2,0,Frontend Developer
0.19,0.28,1.0,0.83,0.22,0.03,0.02,0.14,0.85,0.68,0.59,0.16,0.78,0.44,4,0,2,0,Frontend Developer
0.12,0.19,1.0,0.98,0.21,0.01,0.0,0.02,1.0,0.89,0.46,0.29,0.7,0.65,2,1,2,0,Frontend Developer
0.13,0.23,0.88,0.74,0.46,0.0,0.06,0.13,0.92,0.94,0.77,0.0,0.45,0.51,2,0,1,0,Frontend Developer
0.26,0.27,0.88,0.87,0.0,0.0,0.22,0.29,0.8,0.88,0.7,0.23,0.5,0.55,3,1,1,0,Frontend Developer
0.0,0.0,0.85,0.85,0.07,0.1,0.05,0.23,0.89,0.68,0.72,0.2,0.5,0.51,2,2,2,0,Frontend Developer
0.29,0.13,0.92,1.0,0.07,0.0,0.0,0.0,0.96,1.0,0.82,0.0,0.58,0.37,3,2,1,0,Frontend Developer
0.31,0.07,0.96,0.89,0.26,0.13,0.13,0.0,0.75,1.0,0.63,0.19,0.64,0.7,2,1,1,0,Frontend Developer
0.09,0.3,0.94,0.67,0.52,0.21,0.35,0.0,0.92,1.0,0.76,0.24,0.34,0.29,4,1,1,0,Frontend Developer
0.0,0.0,0.82,0.8,0.29,0.0,0.37,0.16,1.0,1.0,0.85,0.1,0.77,0.52,4,2,0,0,Frontend Developer
0.17,0.15,0.86,0.93,0.1,0.1,0.0,0.0,0.93,0.88,0.71,0.18,0.6,0.57,2,1,1,0,Frontend Developer
0.08,0.01,0.83,0.81,0.3,0.02,0.08,0.18,0.92,1.0,0.52,0.18,0.61,0.5,2,0,1,0,Frontend Developer
0.13,0.25,1.0,1.0,0.01,0.07,0.0,0.0,0.83,0.97,0.73,0.25,0.47,0.46,2,0,1,0,Frontend Developer
0.18,0.29,0.97,1.0,0.0,0.05,0.12,0.0,0.97,1.0,0.47,0.06,0.62,0.56,2,1,1,0,Frontend Developer
0.12,0.11,0.82,1.0,0.22,0.07,0.05,0.12,1.0,0.94,0.36,0.2,0.43,0.47,4,0,1,0,Frontend Developer
0.05,0.16,0.91,1.0,0.17,0.14,0.22,0.29,0.86,0.9,0.85,0.3,0.73,0.34,2,1,1,0,Frontend Developer
0.0,0.11,0.82,0.99,0.22,0.11,0.18,0.07,1.0,0.84,0.87,0.13,0.4,0.46,4,1,0,0,Frontend Developer
0.06,0.03,0.96,1.0,0.05,0.0,0.12,0.11,0.97,0.98,0.67,0.38,0.41,0.4,4,1,1,0,Frontend Developer
0.02,0.18,1.0,1.0,0.06,0.0,0.1,0.15,1.0,1.0,0.68,0.25,0.64,0.71,2,0,0,0,Frontend Developer
0.0,0.08,0.95,0.97,0.2,0.0,0.04,0.13,1.0,0.88,0.96,0.0,0.53,0.49,4,2,0,0,Frontend Developer
0.11,0.14,0.9,0.71,0.11,0.12,0.12,0.1,1.0,0.88,0.7,0.27,0.59,0.35,2,1,1,0,Frontend Developer
0.1,0.29,1.0,0.88,0.28,0.0,0.02,0.0,1.0,1.0,0.68,0.1,0.6,0.44,2,1,0,0,Frontend Developer
0.02,0.26,1.0,0.83,0.0,0.22,0.02,0.19,0.71,1.0,0.55,0.29,0.6,0.39,4,1,1,0,Frontend Developer
0.0,0.01,0.93,0.92,0.31,0.08,0.06,0.23,1.0,1.0,0.71,0.32,0.52,0.4,4,0,1,0,Frontend Developer
0.0,0.12,1.0,0.95,0.35,0.0,0.18,0.24,0.74,0.99,0.64,0.19,0.64,0.44,2,2,1,0,Frontend Developer
0.23,0.0,0.82,1.0,0.27,0.27,0.0,0.0,0.91,0.85,0.78,0.11,0.46,0.52,2,1,1,0,Frontend Developer
0.0,0.06,0.97,0.96,0.22,0.0,0.19,0.22,0.81,0.93,0.67,0.23,0.58,0.49,4,1,2,0,Frontend Developer
0.1,0.18,0.82,0.85,0.28,0.2,0.06,0.09,0.77,0.91,0.81,0.27,0.66,0.51,3,2,1,0,Frontend Developer
0.0,0.22,0.95,1.0,0.18,0.04,0.1,0.11,0.87,0.89,0.55,0.15,0.68,0.48,4,1,0,0,Frontend Developer
0.67,0.85,0.28,0.03,0.92,0.91,0.83,1.0,0.16,0.0,0.75,0.73,0.28,0.59,2,3,1,1,Backend Developer
0.91,0.82,0.08,0.0,0.72,0.77,0.69,0.73,0.09,0.0,0.82,0.71,0.31,0.72,3,2,2,1,Backend Developer
0.9,0.56,0.4,0.28,0.77,0.74,0.82,0.93,0.27,0.14,0.85,0.54,0.53,0.84,3,1,1,1,Backend Developer
0.93,0.66,0.37,0.0,0.9,0.83,0.73,0.86,0.18,0.2,0.75,0.51,0.61,0.87,3,3,1,1,Backend Developer
0.72,0.6,0.5,0.06,1.0,0.97,0.75,0.95,0.03,0.12,0.97,0.78,0.42,0.91,1,3,1,1,Backend Developer
0.75,0.86,0.34,0.21,0.9,1.0,0.56,0.91,0.15,0.27,0.98,0.7,0.25,0.75,3,3,2,1,Backend Developer
1.0,0.58,0.22,0.04,0.97,0.73,0.72,0.92,0.12,0.14,0.68,0.57,0.41,0.5,2,3,2,1,Backend Developer
0.66,0.54,0.38,0.1,1.0,0.59,0.53,0.9,0.25,0.2,0.82,0.72,0.35,0.89,4,3,2,1,Backend Developer
0.92,0.81,0.15,0.11,0.81,0.7,0.67,0.86,0.49,0.15,0.63,0.63,0.52,0.95,3,2,1,1,Backend Developer
0.73,0.57,0.57,0.27,0.89,1.0,0.69,0.99,0.2,0.15,0.84,0.65,0.53,0.79,3,3,2,1,Backend Developer
0.67,0.8,0.45,0.12,0.94,0.89,0.45,0.88,0.17,0.27,0.84,0.66,0.39,0.82,2,2,2,1,Backend Developer
0.87,0.61,0.32,0.24,0.9,0.89,0.74,0.9,0.19,0.03,0.82,0.67,0.59,0.8,3,2,2,1,Backend Developer
0.84,0.74,0.47,0.0,0.91,0.78,0.87,0.63,0.0,0.14,0.94,0.79,0.3,0.88,4,2,2,1,Backend Developer
0.98,0.66,0.32,0.24,0.8,0.98,0.9,0.82,0.36,0.0,0.85,0.55,0.51,0.8,2,3,1,1,Backend Developer
0.91,0.57,0.31,0.09,0.73,0.98,0.6,0.83,0.08,0.18,0.62,0.77,0.53,0.76,3,2,2,1,Backend Developer
0.78,0.52,0.23,0.0,1.0,0.89,0.66,1.0,0.21,0.0,0.75,0.9,0.32,0.73,4,2,1,1,Backend Developer
0.8,0.68,0.09,0.18,0.92,0.84,0.68,0.9,0.17,0.04,0.83,0.76,0.31,0.65,3,3,1,1,Backend Developer
0.82,0.63,0.41,0.24,0.93,0.72,0.83,0.92,0.02,0.0,0.98,0.86,0.1,0.54,2,3,2,1,Backend Developer
0.75,0.83,0.32,0.18,0.92,0.79,0.89,0.94,0.16,0.25,0.64,0.97,0.38,0.55,3,3,2,1,Backend Developer
0.94,0.74,0.22,0.13,0.85,0.88,0.9,0.99,0.22,0.19,0.9,0.57,0.41,1.0,1,2,1,1,Backend Developer
0.83,0.71,0.44,0.09,0.88,0.79,0.74,0.94,0.12,0.08,0.72,0.62,0.19,0.67,3,3,2,1,Backend Developer
0.96,0.56,0.25,0.14,1.0,0.8,0.47,0.88,0.36,0.13,0.83,0.57,0.26,0.7,1,1,1,1,Backend Developer
0.68,0.82,0.16,0.04,0.98,0.61,0.72,0.78,0.2,0.06,1.0,0.65,0.62,0.77,2,3,2,1,Backend Developer
1.0,0.71,0.43,0.1,0.95,0.84,0.71,0.92,0.12,0.05,0.77,0.73,0.4,0.84,4,1,1,1,Backend Developer
0.71,0.67,0.44,0.12,0.84,0.91,0.57,0.98,0.25,0.06,0.7,0.59,0.46,0.85,1,1,1,1,Backend Developer
0.82,0.77,0.39,0.22,1.0,0.92,0.93,0.91,0.18,0.17,0.77,0.92,0.54,0.79,3,3,2,1,Backend Developer
0.72,0.7,0.31,0.04,1.0,0.82,0.51,0.86,0.23,0.0,0.7,0.63,0.55,0.64,3,1,2,1,Backend Developer
0.89,0.71,0.22,0.08,1.0,0.87,0.62,0.76,0.26,0.12,0.88,0.52,0.26,0.84,2,1,2,1,Backend Developer
0.67,0.55,0.29,0.0,0.8,0.7,0.64,0.76,0.07,0.14,0.79,0.76,0.2,0.7,2,3,2,1,Backend Developer
0.72,0.66,0.43,0.09,1.0,0.73,0.65,1.0,0.1,0.22,0.72,0.66,0.6,0.65,3,1,2,1,Backend Developer
0.58,0.73,0.07,0.09,0.74,1.0,0.81,0.91,0.35,0.0,0.87,0.72,0.43,0.85,2,2,2,1,Backend Developer
0.71,0.67,0.13,0.15,0.92,0.88,0.81,1.0,0.16,0.16,0.84,0.75,0.45,0.89,1,2,2,1,Backend Developer
0.8,0.64,0.17,0.13,0.98,0.89,0.67,0.92,0.22,0.12,0.66,0.72,0.35,0.82,4,3,2,1,Backend Developer
0.74,0.73,0.52,0.0,0.88,0.9,0.79,0.75,0.02,0.23,0.71,0.61,0.59,0.71,3,2,1,1,Backend Developer
0.85,0.75,0.11,0.27,0.84,0.82,0.57,0.69,0.34,0.25,0.78,0.62,0.35,0.66,4,2,2,1,Backend Developer
0.69,0.57,0.03,0.02,0.76,0.73,0.67,0.83,0.06,0.0,0.84,0.79,0.35,0.67,2,2,1,1,Backend Developer
0.88,0.49,0.27,0.09,1.0,0.77,0.86,0.76,0.36,0.04,0.81,0.66,0.55,0.83,4,3,2,1,Backend Developer
0.82,0.57,0.47,0.07,1.0,0.98,0.83,0.83,0.13,0.07,0.88,0.64,0.39,0.73,2,3,2,1,Backend Developer
0.76,0.69,0.28,0.1,0.82,0.97,0.71,0.84,0.24,0.09,0.59,0.74,0.28,0.81,3,3,2,1,Backend Developer
0.66,0.6,0.13,0.2,0.79,0.7,0.8,0.94,0.3,0.21,1.0,0.68,0.23,0.73,3,3,2,1,Backend Developer
0.68,0.67,0.35,0.05,0.69,0.96,0.63,0.99,0.05,0.0,0.9,0.74,0.35,0.74,4,3,1,1,Backend Developer
0.79,0.64,0.18,0.1,0.84,0.73,0.71,1.0,0.16,0.28,1.0,0.59,0.4,0.95,3,1,2,1,Backend Developer
0.88,0.61,0.37,0.05,0.85,0.96,0.81,1.0,0.39,0.21,0.59,0.92,0.51,0.61,1,3,2,1,Backend Developer
0.66,0.77,0.34,0.02,0.94,0.7,0.58,0.87,0.21,0.06,0.85,0.75,0.58,0.69,3,2,2,1,Backend Developer
0.85,0.85,0.39,0.0,0.95,0.89,0.72,0.88,0.01,0.2,0.84,0.83,0.22,0.76,4,3,2,1,Backend Developer
0.94,0.55,0.06,0.19,0.81,0.88,0.88,0.82,0.15,0.13,0.64,0.61,0.4,0.66,1,2,1,1,Backend Developer
0.75,0.41,0.2,0.08,0.66,0.8,0.46,0.87,0.34,0.1,1.0,0.79,0.56,0.61,3,3,2,1,Backend Developer
1.0,0.7,0.16,0.15,1.0,0.73,0.66,0.95,0.19,0.0,0.93,0.98,0.42,0.59,2,2,2,1,Backend Developer
0.91,0.51,0.49,0.17,1.0,0.69,0.54,0.88,0.26,0.32,0.88,0.67,0.28,0.85,1,2,2,1,Backend Developer
0.83,0.58,0.29,0.14,0.88,0.79,0.55,0.9,0.0,0.02,0.69,0.67,0.37,0.82,3,2,1,1,Backend Developer
0.74,0.64,0.32,0.0,0.8,0.79,0.68,0.91,0.38,0.21,0.71,0.67,0.36,0.64,3,2,2,1,Backend Developer
0.71,0.65,0.27,0.0,0.81,0.87,0.84,0.94,0.19,0.0,0.93,0.75,0.32,0.81,3,3,2,1,Backend Developer
0.9,0.66,0.07,0.2,0.86,0.86,0.68,0.74,0.24,0.13,0.75,0.76,0.24,0.67,2,3,1,1,Backend Developer
0.79,0.71,0.27,0.1,0.85,0.85,0.75,0.95,0.12,0.21,0.82,0.85,0.57,0.53,3,3,2,1,Backend Developer
0.76,0.77,0.29,0.0,1.0,1.0,0.64,0.86,0.0,0.26,0.91,0.49,0.15,0.47,1,3,1,1,Backend Developer
0.92,0.56,0.44,0.01,1.0,0.73,0.66,0.91,0.21,0.16,0.65,0.7,0.42,0.64,4,2,2,1,Backend Developer
0.69,0.54,0.36,0.06,0.84,0.92,0.52,0.7,0.13,0.23,0.73,0.89,0.54,0.73,1,3,2,1,Backend Developer
1.0,0.65,0.44,0.34,0.92,0.78,0.49,1.0,0.17,0.0,0.64,0.58,0.51,0.83,2,1,2,1,Backend Developer
0.63,0.74,0.44,0.03,0.71,0.9,0.77,1.0,0.28,0.2,0.77,0.99,0.35,0.63,1,2,2,1,Backend Developer
0.72,0.66,0.32,0.0,0.79,1.0,0.66,0.83,0.04,0.2,0.67,0.7,0.2,0.8,1,2,1,1,Backend Developer
0.7,0.62,0.2,0.0,1.0,1.0,0.93,0.75,0.21,0.0,0.72,0.59,0.55,0.65,3,1,2,1,Backend Developer
0.82,0.72,0.2,0.18,0.94,0.74,0.65,0.88,0.15,0.0,0.88,0.67,0.4,0.63,4,3,1,1,Backend Developer
0.75,0.59,0.29,0.16,1.0,0.95,0.58,0.86,0.12,0.0,0.65,0.9,0.4,0.67,3,2,2,1,Backend Developer
0.62,0.56,0.3,0.01,0.86,0.8,0.82,0.83,0.15,0.19,0.73,0.75,0.44,0.72,1,2,1,1,Backend Developer
0.8,0.68,0.33,0.03,0.85,0.93,0.78,0.97,0.2,0.12,0.83,0.62,0.58,0.86,1,2,1,1,Backend Developer
0.86,0.82,0.15,0.3,0.69,0.93,0.87,0.89,0.18,0.18,1.0,0.67,0.31,0.65,2,2,2,1,Backend Developer
0.92,0.74,0.29,0.12,0.75,0.86,0.68,0.75,0.12,0.08,0.73,0.41,0.53,0.68,4,3,2,1,Backend Developer
0.6,0.67,0.31,0.3,1.0,0.65,0.7,0.9,0.17,0.17,0.63,0.65,0.46,0.78,1,1,2,1,Backend Developer
0.65,0.52,0.47,0.2,0.89,0.8,0.63,1.0,0.43,0.03,0.94,0.7,0.37,0.88,2,2,2,1,Backend Developer
0.75,0.78,0.44,0.11,0.94,0.84,0.71,0.77,0.16,0.0,0.69,0.46,0.43,0.9,2,2,1,1,Backend Developer
0.68,0.82,0.29,0.0,0.82,0.9,0.6,0.57,0.16,0.07,0.8,0.85,0.41,0.73,4,3,2,1,Backend Developer
0.69,0.77,0.45,0.08,0.78,1.0,0.6,0.94,0.36,0.05,0.73,0.63,0.51,0.83,2,1,2,1,Backend Developer
